Fish_ID,Site,Date_sampled,Exposure,Days_in_river,Cs_intestine_PCR_binary,Max_Cs_spores_n_L,Mean_water_temp_C,Mean_water_velocity_ms,Fork_length_mm,Mass_g
210301_CMN_F1,CMN,3/1/21,1,0,0,0,10.5,0.01,50,1
210301_CMN_F2,CMN,3/1/21,1,0,0,0,10.5,0.01,54,1.8
210301_CMN_F3,CMN,3/1/21,1,0,0,0,10.5,0.01,55,1.9
210301_CMN_F4,CMN,3/1/21,1,0,0,0,10.5,0.01,55,1.4
210301_CMN_F5,CMN,3/1/21,1,0,0,0,10.5,0.01,50,1
210301_CMN_F6,CMN,3/1/21,1,0,0,0,10.5,0.01,50,1.1
210301_CMN_F7,CMN,3/1/21,1,0,0,0,10.5,0.01,50,1.1
210301_CMN_F8,CMN,3/1/21,1,0,0,0,10.5,0.01,55,1.2
210301_CMN_F9,CMN,3/1/21,1,0,0,0,10.5,0.01,47,0.8
210301_CMN_F10,CMN,3/1/21,1,0,0,0,10.5,0.01,53,1.2
210301_CMN_F11,CMN,3/1/21,1,0,0,0,10.5,0.01,50,1
210301_CMN_F12,CMN,3/1/21,1,0,0,0,10.5,0.01,50,1
210301_CMN_F13,CMN,3/1/21,1,0,0,0,10.5,0.01,52,1
210301_CMN_F14,CMN,3/1/21,1,0,0,0,10.5,0.01,51,1
210301_CMN_F15,CMN,3/1/21,1,0,0,0,10.5,0.01,52,1.3
210302_ORO_F1,ORO,3/2/21,1,0,0,0,11,0.01,56,1.8
210302_ORO_F2,ORO,3/2/21,1,0,0,0,11,0.01,66,3.4
210302_ORO_F3,ORO,3/2/21,1,0,0,0,11,0.01,57,1.8
210302_ORO_F4,ORO,3/2/21,1,0,0,0,11,0.01,60,2.6
210302_ORO_F5,ORO,3/2/21,1,0,0,0,11,0.01,64,2.8
210302_ORO_F6,ORO,3/2/21,1,0,0,0,11,0.01,73,4.4
210302_ORO_F7,ORO,3/2/21,1,0,0,0,11,0.01,60,2
210302_ORO_F8,ORO,3/2/21,1,0,0,0,11,0.01,70,3.6
210302_ORO_F9,ORO,3/2/21,1,0,0,0,11,0.01,63,2.8
210302_ORO_F10,ORO,3/2/21,1,0,0,0,11,0.01,72,3.1
210302_ORO_F11,ORO,3/2/21,1,0,0,0,11,0.01,67,3.5
210302_ORO_F12,ORO,3/2/21,1,0,0,0,11,0.01,65,3.1
210302_ORO_F13,ORO,3/2/21,1,0,0,0,11,0.01,66,3.1
210302_ORO_F14,ORO,3/2/21,1,0,0,0,11,0.01,66,3.1
210302_ORO_F15,ORO,3/2/21,1,0,0,0,11,0.01,64,2.8
210308_RDB_F1,RDB,3/8/21,1,7,0,48.8,11.2,0.78,58,1.7
210308_RDB_F2,RDB,3/8/21,1,7,0,48.8,11.2,0.78,51,1.2
210308_RDB_F3,RDB,3/8/21,1,7,0,48.8,11.2,0.78,47,1
210308_RDB_F4,RDB,3/8/21,1,7,0,48.8,11.2,0.78,52,1.3
210308_RDB_F5,RDB,3/8/21,1,7,0,48.8,11.2,0.78,54,1.4
210308_RDB_F6,RDB,3/8/21,1,7,0,48.8,11.2,0.78,52,1.2
